Non functional Log
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:43:09The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:43:38The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:44:18The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:45:37The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:19:19Remote IP Adress: ::1
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:19:37Remote IP Adress: ::1
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
 Datum/tijd: 15-Jun-2022 12:20:19 Remote IP Adress: ::1
 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
 Datum/tijd: 15-Jun-2022 12:20:46 Remote IP Adress: ::1
 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:24:18 Remote IP Adress: ::1	 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:34:28 Remote IP Adress: ::1	 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 140	
Date/Time: 15-Jun-2022 12:34:55 Remote IP Adress: ::1	 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 140	
Date/Time: 15-Jun-2022 12:35:55	 Remote IP Adress: ::1	 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 140	
Date/Time( 15-Jun-2022 12:36:43 )	 Remote IP Adress: ::1	 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	file: C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 140	
Date/Time( 15-Jun-2022 12:37:25 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 140)	
Date/Time( 15-Jun-2022 12:40:22 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 140)	
Date/Time( 15-Jun-2022 12:41:51 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 140)	
Date/Time( 15-Jun-2022 12:48:02 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 140)	
Date/Time( 15-Jun-2022 12:48:31 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 140)	
Date/Time( 15-Jun-2022 12:55:05 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[42S02]: Base table or view not found: 1146 Table 'mvcframework.countr' doesn't exist)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 138)	
Date/Time( 15-Jun-2022 13:06:24 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:06:34 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:10:13 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:10:28 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:10:38 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:10:50 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:11:29 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:12:00 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:12:11 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:12:43 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:13:13 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:19:16 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:19:46 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:20:29 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:20:59 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:21:07 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:22:16 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:23:22 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
